site,surveyID,type,start_utm_e,start_utm_n,end_utm_e,end_utm_n,survey_length,survey_width,survey_area_hect,Year
Loney North,,Meadow,701861,4366196,701791,4366342,500,25,1.25,2016
Texas Creek South,,Meadow,701802,4365995,702112,4365997,400,25,1,2016
Texas Creek North ,,Stream,701749,4366162,702192,4366152,750,25,1.86,2016
Bullpen Lake,,Pond,703541,4366324,703541,4366324,700,20,1.4,2016
Stock Pond,,Pond,701920,4366737,701920,4366737,130,10,0.13,2016
Unnamed Pond,,Pond,702633,4366699,702633,4366699,140,20,0.28,2016
Loney Northwest,1,Meadow,701737,4366395,701604,4366254,200,75,1.5,2015
Loney North,2,Meadow,701707,4366205,701893,4366337,230,130,2.2,2015
Texas Creek,3,Stream,701691,4366190,702193,4366133,2500,20,5,2015
Texas Creek South,4,Stream,701657,4366136,702286,4366167,1000,25,2.5,2015
Bullpen Lake,5,Pond,703541,4366324,703541,4366324,600,20,1.2,2015
